id;last_name_and_first_name;number_of_seats;phone;near_stage;status;side;relation;accessibility
1;anti dearest underachieve;11949;668.885.7049 x344;true;WAITING_APPROVAL;BOTH;BRIDE_MOTHER_FAMILY;false
2;belabor;12592;(824) 443-8994 x914;false;NOT_CONFIRMED;BRIDE;GROOM_FAMILY;true
3;pfft readies octave;11083;577-479-2805;true;CONFIRMED;GROOM;GROOM_PARENTS_INVITEES;false
4;dramatic eek now;7580;1-647-508-8820 x477;false;WAITING_APPROVAL;BOTH;BRIDE_FATHER_FAMILY;false
5;faithfully scoop;31081;930.492.7221 x3004;true;WAITING_APPROVAL;GROOM;GROOM_PARENTS_INVITEES;false
6;fabricate sans;26604;625-742-8502 x208;true;VIEW_ONLY;BRIDE;BRIDE_FRIENDS;true
7;ouch;5105;(339) 758-5738;true;VIEW_ONLY;BRIDE;GROOM_FRIENDS;false
8;incandescence yippee;15518;1-513-858-2088 x59461;true;WAITING_APPROVAL;BRIDE;BRIDE_FAMILY;true
9;pretend;28308;330-297-5484 x064;false;VIEW_ONLY;BRIDE;GROOM_MOTHER_FAMILY;false
10;ribbon starboard hmph;7388;1-299-692-3355 x901;true;NOT_INVITED;GROOM;BRIDE_FAMILY;false
