id;last_name_and_first_name;number_of_seats;phone;near_dance_floor;status;side;relation;not_with_id;with_id;conditions;accessibility
1;loudly;19196;944-993-8234;true;CONFIRMED;mortally not sense;BRIDE_MOTHER_FAMILY;11641;30362;cultivated after mindless;false
2;inscribe;25032;1-398-219-0838;true;VIEW_ONLY;round drat;GROOM_WORK;271;11492;pinion mummify;true
3;potentially after;1204;(725) 895-4695 x9653;true;WAITING_APPROVAL;bolster dreamily;BRIDE_FATHER_FAMILY;18517;7343;tag notwithstanding;true
4;morbidity pave;29797;(708) 232-7682 x26935;false;WAITING_APPROVAL;after;GROOM_FRIENDS;10134;1078;in;false
5;gosh;22978;867.825.5661 x7224;false;VIEW_ONLY;under phooey thread;GROOM_FAMILY;21151;8332;among;true
6;fatally vice blah;2505;630-802-8778 x761;true;VIEW_ONLY;hence naughty;BRIDE_MOTHER_FAMILY;6726;32645;alongside without;true
7;eek incidentally;27997;334-516-8031 x9546;false;VIEW_ONLY;excellent indeed huzzah;GROOM_STUDY;31775;11243;although fine essential;true
8;kookily;3677;1-338-307-7183;false;VIEW_ONLY;hexagon sadly term;BRIDE_FRIENDS;25325;13868;serve;true
9;aha boohoo battle;22558;923.904.7178;false;VIEW_ONLY;fuss of;GROOM_MOTHER_FAMILY;19848;19955;where generously tightly;false
10;drat furthermore even;26999;220-847-8288 x7539;false;VIEW_ONLY;hmph;GROOM_ARMY;2545;22316;yahoo;true
