id;number_of_tables;near_stage_tables;venue_name;event_owners;groom_parents;bride_parents;wedding_date;reception_time;wedding_time
1;27613;2361;forenenst celsius;chunter nor nasalise;along hole readjust;upbeat;2025-03-08;2025-03-08T09:42:27;2025-03-08T06:50:25
2;26696;30894;quizzically ugh;including plump;shyly bicycle;after;2025-03-08;2025-03-08T16:29:10;2025-03-08T10:45:20
3;7977;8437;deliberately gray;as switchboard absentmindedly;once nor;replicate ghost;2025-03-08;2025-03-07T22:59:56;2025-03-07T20:26:47
4;31625;14754;wilt nor joyously;promptly;above boggle;denitrify;2025-03-08;2025-03-08T02:10:19;2025-03-07T18:12:14
5;12085;21647;refer yowza corporation;excepting bah mutate;scale incidentally rotten;officially up;2025-03-08;2025-03-07T18:38:32;2025-03-08T02:50:08
6;9946;17835;jovially awful;whoever sparse;pro because ambitious;so impolite;2025-03-08;2025-03-08T10:03:46;2025-03-08T16:47:03
7;32466;31996;from verify;before apropos synthesise;gah so;though even within;2025-03-08;2025-03-07T22:35:53;2025-03-07T19:31:41
8;14276;17057;pace vice phony;fooey rue;neglect scarification;strictly instead;2025-03-07;2025-03-07T23:15:45;2025-03-08T10:20:34
9;5803;17439;broadcast entice aside;arrogantly avalanche;eventually overload;weakly foolish energetically;2025-03-08;2025-03-08T11:16:24;2025-03-08T07:03:55
10;22002;17066;mostly;almost as crank;whoever;unless per;2025-03-08;2025-03-07T17:38:21;2025-03-08T01:46:14
